#p.58
しげし	繁し	①多い	
したたむ	認む	①きちんと片付け整える	
したりがほ	したり顔	①得意顔・満足顔	
しづ	賤	①身分が低くて下品なこと	→あてなり・あやし（げなり）・いやし
しどけなし		①くつろいでいてだらしがない	
しののめ	東雲	①東の雲がほのかに明るくなる夜明け方	
しとどに		①（雨などで）びっしょり・ぐっしょり	
しのぶ	忍ぶ・偲ぶ	①我慢する ②人目を避ける ③思い慕う	
しはぶき	咳	①咳（払い）	
しほたる	潮垂る	①泣く	
しらなみ［はくは・はくらう］	白波・白浪	①白く泡立つ大波 ②海賊・山賊	
しりうごと	後言	①陰口	「しりうごつ」＝陰口を言う
しる	知る・領る	①（国を）治める	
しるし	験	①霊験 ②前兆 ③効果	
しるし	著し	①著しくてはっきりしている	
しるべ	知る辺・導・標	①道案内	
しろす［しろしめす］	知ろす［知ろし召す］	①「治む」「知る」の《尊敬語》	
しんめう	神妙	①超越して不思議で素晴らしい様子	
しんわう	親王	①皇子（の位）	
すき	数奇・好き	①風流 ②恋愛	「すきずきし」＝風流好きだ・恋愛好きだ／→いろ・なさけ
すくせ	宿世	①宿命	
すくよかなり	健よかなり	①体が太くて丈夫だ ②思慮分別がなく趣を解さない	→かたくななり・ふつつかなり
すさぶ	荒ぶ・遊ぶ	①気の向くままに遊ぶ	
すさまじ［すごし］	凄じ［凄し］	①もの寂しく興醒めだ	
すずろなり［そぞろなり］	漫ろなり	①何ということもなく不意だ ②むやみやたらだ ③つまらない	
すだく	集く	①集まる	
ずちなし	術無し	①どうしようもない	→せむかたなし［やるかたなし］
すなはち	即ち・乃ち・則ち	①すぐに ②そこで	
#p.67
すます	澄ます・清ます	①（光・音・心を）澄ませる	「…すます」＝心を込めて…する
すまふ	争ふ・辞ふ	①抵抗する	
すゑ	末	①子孫	
せ	兄・背	①兄・弟 ②夫・愛するあなた（男性）	→いも
せうそこ	消息	①返事・連絡 ②挨拶・訪問	
せきあへず	堰き敢へず・塞き敢へず	①涙をせき止めることができない	→…あへず
せちに［せめて］	切に［切めて］	①無理に切実に	
せむかたなし［やるかたなし］	為む方無し［遣る方無し］	①どうしようもない	→ずちなし
せんざい	前栽	①庭の植え込み	
そうす	奏す	①「（帝・院に）言ふ」の《謙譲語》	→きこゆ［きこえさす］・けいす・まうす
そこはかとなし		①何となくとりとめもない	→はかばかし
そこばく	幾許	①たくさん	→あまた・ここら［そこら］
そしる	謗る	①非難する	→なんず・もどく
そで［たもと］	袖［袂］	①涙で濡れた袖［袂］	「そでのつゆ」＝涙／「そでひつ・そでしぼる」＝泣く
そのかみ	其の上	①その当時	
